1.7|2020-03-12 05:05:04,416|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-|510226278|jira.http.request.stats|{"requestUserTime":10,"timingEvents.serverRenderEnd":31,"timingEvents.beforeSecurityFilter":12,"reqTime":31,"timingEvents.preProcessingFilterChainFinished":16,"timingEventKeys":"","url":"","requestGCDuration":0,"timingEvents.jiraSecurityFilter":13,"timingEvents.postProcessingFilterChainStarts":30,"requestCorrelationId":"","requestCpuTime":12,"requestGCCount":0,"timingEventMillis":"12,13,16,30,31"}|1583989504416|SEN-L15068861|ee28f9507150f454965c013f4ed2c26b|servermetrics||
1.7|2020-03-12 05:05:06,622|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-|1355444948|quicksearch.enabled|{}|1583989506000|SEN-L15068861|ee28f9507150f454965c013f4ed2c26b|browser||
1.7|2020-03-12 05:05:06,625|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-|1355444948|quicksearch.onboarding.tip.notshown|{}|1583989506257|SEN-L15068861|ee28f9507150f454965c013f4ed2c26b|browser||
1.7|2020-03-12 05:05:11,662|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-|1355444948|browser.metrics.navigation|{"redirectCount":"1","unloadEventEnd":"8339","apdex":"0","resourceLoadedStart":9122,"responseEnd":"21657","experiments":"","resourceTiming":"{\"☠\":[\"3,71e,7e8,7e0,71q,71q,,71p,71p,71p\",\"3,71e,ddm,d7e,71q,71q,,71o,71o,71o\",\"3,71e,dfb,df9,ddm,71e,,71e,71e,71e\",\"3,71e,dga,dg8,dfb,71e,,71e,71e,71e\",\"2,71e,ds0,drs,71q,71q,,71n,71n,71n\",\"2,71e,lk5,lj6,71q,71q,,71m,71m,71m\",\"2,71e,w1i,vzv,71q,71q,,71m,71m,71m\",\"3,71e,gql,gh4,7e8,71e,,71e,71e,71e\",\"3,71f,dur,duo,dtn,71f,,71f,71f,71f\",\"3,71f,dvo,dvl,duo,71f,,71f,71f,71f\",\"3,71f,dtn,dtj,dga,71f,,71f,71f,71f\",\"3,71f,duo,dum,du2,71f,,71f,71f,71f\",\"3,71f,du2,dt5,drz,71f,,71f,71f,71f\",\"2,71f,mmt,mmr,dur,71f,,71f,71f,71f\",\"3,71f,jkb,jju,dvo,71f,,71f,71f,71f\",\"3,ghv,gq4,gpz,gpk,ghv,,ghv,ghv,ghv\",\"3,gpl,gr1,gqw,gq5,gpl,,gpl,gpl,gpl\",\"4,wdf,we1,wdz,wdg,wdf,,wdf,wdf,wdf\"]}","threshold":"1000","domainLookupEnd":"25","unloadEventStart":"8339","domContentLoadedEventStart":"42071","journeyId":"d8d4be67-fa39-40fd-a977-cf702c7692f4","resourceLoadedEnd":"41526","redirectStart":"0","connectEnd":"25","userTimingRaw":"{\"marks\":{},\"measures\":{}}","requestStart":"26","correlationId":"","fetchStart":"25","navigationType":"1","applicationHash":"","domContentLoadedEventEnd":"42111","serverDuration":"21405","key":"jira.dashboard","domLoading":"8340","dbConnsTimeInMs":"162","isInitial":"true","responseStart":"8332","serverHeadDuration":"","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15","domInteractive":"42071","domComplete":"42323","domainLookupStart":"25","redirectEnd":"25","readyForUser":"42215","dbReadsTimeInMs":"85","connectStart":"25","loadEventStart":"42323","loadEventEnd":"42346"}|1583989506521|SEN-L15068861|ee28f9507150f454965c013f4ed2c26b|browser||
1.7|2020-03-12 05:05:15,876|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-||jiraupgraded|{"setupUpgrade":false}|1583989515876|SEN-L15068861||||
1.7|2020-03-12 05:05:25,203|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-||healthchecks.check.hsql.pass.done.scheduled|{"severity":0,"pluginVersion":"1.14.0","healthy":true,"failureReason":""}|1583989525203|SEN-L15068861||troubleshooting.healthcheck||
1.7|2020-03-12 05:05:25,206|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-||healthchecks.check.endOfLife.pass.done.scheduled|{"severity":0,"pluginVersion":"1.14.0","healthy":true,"failureReason":""}|1583989525206|SEN-L15068861||troubleshooting.healthcheck||
1.7|2020-03-12 05:05:25,206|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-||healthchecks.check.gadgetFeedUrl.pass.done.scheduled|{"severity":0,"pluginVersion":"1.14.0","healthy":true,"failureReason":""}|1583989525206|SEN-L15068861||troubleshooting.healthcheck||
1.7|2020-03-12 05:05:25,207|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-||healthchecks.check.collation.fail.done.scheduled|{"severity":4,"pluginVersion":"1.14.0","healthy":false,"failureReason":""}|1583989525207|SEN-L15068861||troubleshooting.healthcheck||
1.7|2020-03-12 05:05:25,207|d38c0ad66166e7dfcf52f1a8d56b0d73|jira|7.13.0|-||healthchecks.check.databaseConfig.fail.done.scheduled|{"severity":2,"pluginVersion":"1.14.0","healthy":false,"failureReason":""}|1583989525207|SEN-L15068861||troubleshooting.healthcheck||
